reference,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,60,Right-VentralDC,0.9109225874867445,0.9999767346274051,0.1401401401401401,0.031567080045095786,3.878098618108809e-06,1.9390192302237708e-05,0.8364167478091529,0.9999961219013819,0.8598598598598599,0.9684329199549042,887,999,0.9999806098076978
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,2,Left-Cerebral-White-Matter,,1.0,,,0.0,0.0,,1.0,,,0,0,1.0
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,3,Left-Cerebral-Cortex,0.8751438914933017,0.9937814982678376,0.1418358499517398,0.1071908773721385,0.002684702608867646,0.00369210223702221,0.7780051909529107,0.9973152973911323,0.8581641500482602,0.8928091226278615,176265,183381,0.9963078977629778
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,4,Left-Lateral-Ventricle,0.904826464208243,0.9999027839787997,0.09345286606900294,0.09688768606224629,4.960268663668983e-05,4.766300922343092e-05,0.826194602624412,0.9999503973133633,0.9065471339309971,0.9031123139377537,3695,3681,0.9999523369907766
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,8,Left-Cerebellum-Cortex,0.9618207046504642,0.999630385241334,0.04071791359926957,0.03562720518631135,0.0001728364068619115,0.00019857584797244865,0.9264495149911817,0.9998271635931381,0.9592820864007304,0.9643727948136886,34861,35046,0.9998014241520276
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,10,Left-Thalamus-Proper*,0.9665561916239831,0.9999385129438563,0.0480712166172107,0.01835985312117505,1.6633648873652466e-05,4.490958204150797e-05,0.9352769679300291,0.9999833663511264,0.9519287833827893,0.981640146878825,6536,6740,0.9999550904179585
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,11,Left-Caudate,0.9529973801818462,0.9999577622699913,0.05903834449178336,0.03465501092725565,1.537876228950146e-05,2.687788807409497e-05,0.9102148954960259,0.9999846212377105,0.9409616555082166,0.9653449890727444,3203,3286,0.9999731221119259
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,12,Left-Putamen,0.8884364820846905,0.9998861658555176,0.1460996608400731,0.07411598302687417,3.630217207534391e-05,7.758922518430467e-05,0.7992673992673993,0.9999636978279246,0.8539003391599269,0.9258840169731258,3535,3833,0.9999224107748157
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,13,Left-Pallidum,0.9023255813953488,0.9999592855979589,0.030000000000000027,0.15652173913043477,3.4904826173965656e-05,5.817640248761968e-06,0.8220338983050848,0.999965095173826,0.97,0.8434782608695652,1610,1400,0.9999941823597512
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,14,3rd-Ventricle,0.9429241594996091,0.9999898906416701,0.05633802816901412,0.057812500000000044,5.12437480896123e-06,4.9858788829793e-06,0.8920118343195266,0.9999948756251911,0.9436619718309859,0.9421875,640,639,0.999995014121117
